#Timestep Temperature Volume Potential_Energy Total_Energy Pressure
98000 1438.31858965595 4996.00553842909 -767.05225484158 -719.643351130524 -262.776226406544
99000 1502.78656601921 5048.25132376313 -766.468422106535 -716.934567702473 -546.311287189113
100000 1578.98810771109 4980.31272231039 -770.974492693208 -718.928933595425 -789.566409668939
101000 1511.31483844768 4911.95024487142 -771.29986402929 -721.484906363899 8046.00556687252
102000 1369.6809450013 5013.95291964282 -768.540998127863 -723.394482951439 -4872.18389224073
103000 1576.80978534243 5043.26583059637 -769.952866972565 -717.979108292416 -2132.62751882662
104000 1584.8034160537 5118.68786209862 -762.7773250901 -710.540085654423 -5473.86853354365
105000 1488.98647586407 5091.52611849387 -759.101976932164 -710.02299194999 2059.08205023969
106000 1617.23001527449 5000.65833342618 -765.266160826865 -711.960097327318 2721.08964755315
107000 1540.70153833623 5067.47646643496 -764.903435985317 -714.119853402315 -3292.00750370953
108000 1581.61861001793 5084.45487438178 -767.583936442705 -715.451672471973 -6689.33683126939
109000 1588.25925643242 5009.76850241733 -767.145198737612 -714.79405018268 -636.801977466046
110000 1573.44407608743 5111.65580056152 -761.871296520312 -710.008476117077 -1587.91556533781
111000 1725.78909555135 5137.67293699054 -760.197383192493 -703.313067266245 -3894.07829550642
112000 1774.04803574463 5148.68753329857 -756.612990490816 -698.1379953748 -5898.2255147682
113000 1774.45104362045 5151.53948476487 -758.335180480851 -699.846901686437 -4255.52088142489
114000 1717.14021295888 5073.83600166175 -759.550101442003 -702.950864249342 732.263881753253
115000 1794.24154849459 5110.04982533825 -759.729377010385 -700.588776715909 -1936.30148474205
116000 1850.0393798328 5121.33483396199 -758.992863455254 -698.013092039566 -2246.50890623084
117000 1839.60717700249 5063.71089439423 -756.070251595693 -695.434339532885 5993.44142191728
118000 1853.21923535477 5142.25800962716 -751.090697289458 -690.006113584378 4148.67750209039
119000 2058.39660150863 5278.32958895798 -753.842450213966 -685.994946203445 -9144.20753841918
120000 1735.05752859446 5193.39264802105 -749.760346829524 -692.570530958511 -769.295318523806
121000 1860.32876517694 5183.85414767515 -757.198687571781 -695.879764258499 -6443.83887202009
122000 1823.8462917095 5146.92923875744 -754.547609736574 -694.431197524933 1170.62749643694
123000 1883.2843917143 5165.38140042635 -751.575772246458 -689.500200791405 4059.72343427771
124000 1967.58735578559 5321.64211073118 -744.651679862447 -679.797370000649 -5680.40323337963
125000 1877.10236918884 5376.14459457156 -739.414064894242 -677.542261166838 -5398.5914321468
126000 1897.19843833352 5252.41458743532 -744.513870589988 -681.979673555633 -3177.39821276718
127000 1986.15018518914 5222.61006462171 -748.946457984393 -683.480292447415 1090.94715919944
128000 1951.75293541357 5163.01221987541 -749.685800996866 -685.353414800754 4885.83316790921
129000 2008.66141102615 5172.85609667761 -748.817077757848 -682.608912120336 3741.29885995786
130000 2061.79177570884 5226.88685273099 -751.749880949101 -683.790467457678 -3149.41814297091
